pipe:4, 9

169.907 2.233 -12.478
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.009 -0.05 0.03
0.009 -0.056 0.031
0.014 -0.041 0.033
0.025 -0.042 0.039
0.043 -0.021 0.022
0.055 -0.007 -0.001
0.055 -0.033 0.017
0.065 -0.028 0.019
0.057 -0.031 0.03
0.065 -0.032 0.036
0.067 -0.015 0.037
0.069 -0 0.049
0.053 0.021 0.078
0.058 0.016 0.057
0.068 0.026 0.028
0.058 0.011 0.036
0.063 -0.004 0.042
0.077 -0.011 0.021
0.075 -0.018 0.018
0.082 -0.039 0.023
0.083 -0.023 0.041
0.077 -0.002 0.029
0.083 0.028 0.02
timer_u: , 2.96439e-323 , timer_m: , 8.66726e+264 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16271 , timer_m: , 16.271 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15781 , timer_m: , 15.781 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 15625 , timer_m: , 15.625 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16260 , timer_m: , 16.26 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 18509 , timer_m: , 18.509 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16044 , timer_m: , 16.044 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16005 , timer_m: , 16.005 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16916 , timer_m: , 16.916 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16440 , timer_m: , 16.44 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16837 , timer_m: , 16.837 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16661 , timer_m: , 16.661 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 17409 , timer_m: , 17.409 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16056 , timer_m: , 16.056 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
timer_u: , 16519 , timer_m: , 16.519 , Finial wheel Power: , FL: , 0 , FR: , 0 , BR: , 0 , BL , 0
